Municipio,Unidade,Juiz
Cabedelo,4ª Vara Mista,Teresa Cristina de Lyra Pereira Veloso
Cabedelo,5ª Vara Mista,Joao Machado de Souza Junior
Campina Grande,1º Juizado Auxiliar Civel da 2ª Circunscricao,VAGO
Campina Grande,2º Juizado Auxiliar Civel da 2ª Circunscricao,Flavia de Souza Baptista
Campina Grande,3º Juizado Auxiliar Civel da 2ª Circunscricao,Ivna Mozart Bezerra Soares
Campina Grande,4º Juizado Auxiliar Civel da 2ª Circunscricao,VAGO
Campina Grande,5º Juizado Auxiliar Civel da 2ª Circunscricao,Vladimir Jose Nobre de Carvalho
Campina Grande,6º Juizado Auxiliar Civel da 2ª Circunscricao,VAGO
Campina Grande,7º Juizado Auxiliar Civel da 2ª Circunscricao,Alex Muniz Barreto
Campina Grande,1º Juizado Auxiliar Criminal da 2ª Circunscricao,VAGO
Campina Grande,2º Juizado Auxiliar Criminal da 2ª Circunscricao,VAGO
Campina Grande,3º Juizado Auxiliar Criminal da 2ª Circunscricao,VAGO
Campina Grande,1º Juizado Auxiliar da Fazenda Publica da 2ª Circunscricao,Ana Carmem Pereira Jordao Vieira
Campina Grande,2º Juizado Auxiliar da Fazenda Publica da 2ª Circunscricao,Francilene Lucena Melo Jordao
Campina Grande,Juizado Auxiliar da Infancia e Juventude da 2ª Circunscricao,VAGO
Campina Grande,1º Juizado Auxiliar de Familia da 2ª Circunscricao,VAGO
Campina Grande,2º Juizado Auxiliar de Familia da 2ª Circunscricao,VAGO
Campina Grande,Juizado Auxiliar de Sucessoes da 2ª Circunscricao,Adriana Maranhao Silva
Campina Grande,1º Juizado Especial Civel,Deborah Cavalcanti Figueiredo
Campina Grande,2º Juizado Especial Civel,Algacyr Rodrigues Negromonte
Campina Grande,3º Juizado Especial Civel,Max Nunes de Franca
Campina Grande,Juizado Especial Criminal,Maria Aparecida Sarmento Gadelha
Campina Grande,Turma Recursal,Vandemberg de Freitas Rocha
Campina Grande,1ª Vara Civel,Ritaura Rodrigues Santana
Campina Grande,2ª Vara Civel,Ely Jorge Trindade
Campina Grande,3ª Vara Civel,Renata Barros de Assuncao Paiva
Campina Grande,4ª Vara Civel,Audrey Kramy Araruna Goncalves
Campina Grande,5ª Vara Civel,Valerio Andrade Porto
Campina Grande,6ª Vara Civel,Giuliana Madruga Batista de Souza Furtado
Campina Grande,7ª Vara Civel,"Vanessa Andrade Dantas Liberalino da Nobrega ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Campina Grande,8ª Vara Civel,Lua Yamaoka Mariz Maia Pitanga
Campina Grande,9ª Vara Civel,Andrea Dantas Ximenes
Campina Grande,10ª Vara Civel,Wladimir Alcibiades Marinho Falcao Cunha
Campina Grande,1ª Vara Criminal,"Alexandre Jose Goncalves Trineto ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Campina Grande,2ª Vara Criminal,Ana Christina Soares Penazzi Coelho
Campina Grande,3ª Vara Criminal,Brancio Barreto Suassuna
Campina Grande,4ª Vara Criminal,Fabio Jose de Oliveira Araujo
Campina Grande,5ª Vara Criminal,Paulo Sandro Gomes de Lacerda
Campina Grande,1ª Vara da Fazenda Publica,Falkandre de Sousa Queiroz
Campina Grande,2ª Vara da Fazenda Publica,"Silmary Alves de Queiroga Vita ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Campina Grande,3ª Vara da Fazenda Publica,Ruy Jander Teixeira da Rocha
Campina Grande,Vara da Infancia e Juventude,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Campina Grande,Vara de Entorpecentes,Edivan Rodrigues Alexandre
Campina Grande,Vara de Execucao Penal,Gustavo Pessoa Tavares de Lyra
Campina Grande,1ª Vara de Familia,Claudio Pinto Lopes
Campina Grande,2ª Vara de Familia,Dayse Maria Pinheiro Mota
Campina Grande,3ª Vara de Familia,VAGO
Campina Grande,4ª Vara de Familia,Antonio Reginaldo Nunes
Campina Grande,5ª Vara de Familia,Eduardo Rubens da Nobrega Coutinho
Campina Grande,Vara de Feitos Especiais,Leonardo Sousa de Paiva Oliveira
Campina Grande,Vara de Sucessoes,Daniela Falcao Azevedo
Campina Grande,1ª Vara do Tribunal do Juri,Fabricio Meira Macedo
Campina Grande,2ª Vara do Tribunal do Juri,Horacio Ferreira de Melo Junior
Campina Grande,Juizado de Violencia Domestica e Familiar contra a Mulher,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
Guarabira,1º Juizado Auxiliar Misto da 6ª Circunscricao,Gustavo Camacho Meira de Sousa
Guarabira,2º Juizado Auxiliar Misto da 6ª Circunscricao,VAGO
Guarabira,3º Juizado Auxiliar Misto da 6ª Circunscricao,VAGO
Guarabira,Juizado Especial Misto,Silse Maria da Nobrega Torres
Guarabira,1ª Vara Mista,Flavia Fernanda Aguiar Silvestre
Guarabira,2ª Vara Mista,Andressa Torquato Silva
Guarabira,3ª Vara Mista,Higia Antonia Porto Barreto
Guarabira,4ª Vara Mista,Alirio Maciel Lima de Brito
Guarabira,5ª Vara Mista,Katia Daniela de Araujo
João Pessoa,Cartorio Unificado da Fazenda Publica,VAGO
João Pessoa,Cartorio Unificado dos Juizados Especiais,VAGO
João Pessoa,1º Juizado Auxiliar Civel da 1ª Circunscricao,Virginia de Lima Fernandes
João Pessoa,2º Juizado Auxiliar Civel da 1ª Circunscricao,Andrea Carla Mendes Nunes Galdino
João Pessoa,3º Juizado Auxiliar Civel da 1ª Circunscricao,Jose Marcio Rocha Galdino
João Pessoa,4º Juizado Auxiliar Civel da 1ª Circunscricao,Shirley Abrantes Moreira Regis
João Pessoa,5º Juizado Auxiliar Civel da 1ª Circunscricao,Gianne de Carvalho Teotonio Marinho
João Pessoa,6º Juizado Auxiliar Civel da 1ª Circunscricao,Silvana Carvalho Soares
João Pessoa,7º Juizado Auxiliar Civel da 1ª Circunscricao,VAGO
João Pessoa,8º Juizado Auxiliar Civel da 1ª Circunscricao,Andrea Arcoverde Cavalcanti Vaz
João Pessoa,9º Juizado Auxiliar Civel da 1ª Circunscricao,VAGO
João Pessoa,10º Juizado Auxiliar Civel da 1ª Circunscricao,Erica Virginia da Silva Pontes
João Pessoa,11º Juizado Auxiliar Civel da 1ª Circunscricao,Barbara Bortoluzzi Emmerich
João Pessoa,12º Juizado Auxiliar Civel da 1ª Circunscricao,Aylzia Fabiana Borges Carrilho
João Pessoa,13º Juizado Auxiliar Civel da 1ª Circunscricao,VAGO
João Pessoa,14º Juizado Auxiliar Civel da 1ª Circunscricao,Andre Ricardo de Carvalho Costa
João Pessoa,15º Juizado Auxiliar Civel da 1ª Circunscricao,VAGO
João Pessoa,1º Juizado Auxiliar da Fazenda Publica da 1ª Circunscricao,Ascione Alencar Linhares
João Pessoa,2º Juizado Auxiliar da Fazenda Publica da 1ª Circunscricao,VAGO
João Pessoa,3º Juizado Auxiliar da Fazenda Publica da 1ª Circunscricao,Isabelle de Freitas Batista Araujo
João Pessoa,1º Juizado Auxiliar de Familia da 1ª Circunscricao,VAGO
João Pessoa,2º Juizado Auxiliar de Familia da 1ª Circunscricao,VAGO
João Pessoa,3º Juizado Auxiliar de Familia da 1ª Circunscricao,Luiz Eduardo Souto Cantalice
João Pessoa,Juizado Auxiliar de Sucessoes da 1ª Circunscricao,Ivanoska Maria Esperia Gomes dos Santos
João Pessoa,1º Juizado Especial Civel,Magnogledes Ribeiro Cardoso
João Pessoa,2º Juizado Especial Civel,Adhemar de Paula Leite Ferreira Néto
João Pessoa,3º Juizado Especial Civel,Claudia Evangelina Chianca Ferreira de França
João Pessoa,4º Juizado Especial Civel,Virginia Gaudencio de Novais
João Pessoa,5º Juizado Especial Civel,Claudio Antonio de Carvalho Xavier
João Pessoa,6º Juizado Especial Civel,Antonio Silveira Neto
João Pessoa,1º Nucleo de Justica 4.0 - Saude Publica,VAGO
João Pessoa,2Âº Nucleo de Justica 4.0 - Saude Publica,VAGO
João Pessoa,1ª Turma Recursal,Marcos Coelho de Salles
João Pessoa,2ª Turma Recursal,Jose Ferreira Ramos Junior
João Pessoa,1ª Vara Civel,Josivaldo Felix de Oliveira
João Pessoa,2ª Vara Civel,Gustavo Procopio Bandeira de Melo
João Pessoa,3ª Vara Civel,Miguel de Britto Lyra Filho
João Pessoa,4ª Vara Civel,"Jose Herbert Luna Lisboa ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,5ª Vara Civel,Onaldo Rocha de Queiroga
João Pessoa,6ª Vara Civel,Ana Amelia Andrade Alecrim Camara
João Pessoa,7ª Vara Civel,Jose Celio de Lacerda Sa
João Pessoa,8ª Vara Civel,Renata da Camara Pires Belmont
João Pessoa,9ª Vara Civel,"Adriana Barreto Lossio de Souza ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,10ª Vara Civel,Ricardo da Silva Brito
João Pessoa,11ª Vara Civel,Carlos Eduardo Leite Lisboa
João Pessoa,12ª Vara Civel,Manuel Maria Antunes de Melo
João Pessoa,13ª Vara Civel,Antonio Sergio Lopes
João Pessoa,14ª Vara Civel,Alexandre Targino Gomes Falcao
João Pessoa,15ª Vara Civel,Keops de Vasconcelos Amaral Vieira Pires
João Pessoa,16ª Vara Civel,Fabio Leandro de Alencar Cunha
João Pessoa,17ª Vara Civel,Marcos Aurelio Pereira Jatoba Filho
João Pessoa,1ª Vara da Fazenda Publica,VAGO
João Pessoa,2ª Vara da Fazenda Publica,Silvanna Pires Brasil Gouveia Cavalcanti
João Pessoa,3ª Vara da Fazenda Publica,VAGO
João Pessoa,4ª Vara da Fazenda Publica,Luciana Celle Gomes de Morais Rodrigues
João Pessoa,5ª Vara da Fazenda Publica,"Andrea Goncalves Lopes Lins ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,6ª Vara da Fazenda Publica,VAGO
João Pessoa,1ª Vara de Executivos Fiscais,VAGO
João Pessoa,2ª Vara de Executivos Fiscais,VAGO
João Pessoa,1ª Vara de Familia,Antonio Eimar de Lima
João Pessoa,2ª Vara de Familia,Sivanildo Torres Ferreira
João Pessoa,3ª Vara de Familia,"Ricardo da Costa Freitas ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,4ª Vara de Familia,Maria das Graças Fernandes Duarte
João Pessoa,5ª Vara de Familia,Maria de Fatima Lucia Ramalho
João Pessoa,6ª Vara de Familia,Almir Carneiro da Fonseca Filho
João Pessoa,7ª Vara de Familia,VAGO
João Pessoa,Vara de Feitos Especiais,Romero Carneiro Feitosa
João Pessoa,Vara de Sucessoes,Sergio Moura Martins
João Pessoa,Cartorio Unificado das Varas de Entorpecentes,VAGO
João Pessoa,1º Juizado Auxiliar Criminal da 1ª Circunscricao,VAGO
João Pessoa,2º Juizado Auxiliar Criminal da 1ª Circunscricao,Isa Monia Vanessa de Freitas Paiva Maciel
João Pessoa,3º Juizado Auxiliar Criminal da 1ª Circunscricao,Antonio Maroja Limeira Filho
João Pessoa,4º Juizado Auxiliar Criminal da 1ª Circunscricao,Ana Carolina Tavares Cantalice
João Pessoa,Juizado de Violencia Domestica e Familiar contra a Mulher,VAGO
João Pessoa,Juizado Especial Criminal,Hermance Gomes Pereira
João Pessoa,Nucleo de Custodia,VAGO
João Pessoa,Vara Militar,"Eslu Eloy Filho ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,1ª Vara Criminal,Adilson Fabricio Gomes Filho
João Pessoa,2ª Vara Criminal,Marcial Henrique Ferraz da Cruz
João Pessoa,3ª Vara Criminal,Wolfram da Cunha Ramos
João Pessoa,4ª Vara Criminal,"Jose Guedes Cavalcanti Neto ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,5ª Vara Criminal,"Giovanni Magalhaes Porto ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,6ª Vara Criminal,Rodrigo Marques Silva Lima
João Pessoa,7ª Vara Criminal,Geraldo Emilio Porto
João Pessoa,1ª Vara de Entorpecentes,Michelini de Oliveira Dantas Jatoba
João Pessoa,2ª Vara de Entorpecentes,Conceicao de Lourdes Marsicano de Brito Cordeiro
João Pessoa,Vara de Execucao de Penas Alternativas,Salvador de Oliveira Vasconcelos
João Pessoa,Vara de Execucao Penal,"Carlos Neves da Franca Neto ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,1ª Vara do Tribunal do Juri,Antonio Gonçalves Ribeiro Junior
João Pessoa,2ª Vara do Tribunal do Juri,Francilucy Rejane de Sousa Mota Brandao
João Pessoa,Juizado Auxiliar da Infancia e Juventude da 1ª Circunscricao,Henrique Jorge Jacome de Figueiredo
João Pessoa,1ª Vara da Infancia e Juventude,Adhailton Lacet Correia Porto
João Pessoa,2ª Vara da Infancia e Juventude,"Antonieta Lucia Maroja Arcoverde Nobrega ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,Cartorio Unificado,VAGO
João Pessoa,7° Juizado Especial Civel,Meales Medeiros de Melo
João Pessoa,8° Juizado Especial Civel,Daniela Rolim Bezerra
João Pessoa,1º Juizado Especial Regional Misto de Mangabeira,VAGO
João Pessoa,2º Juizado Especial Regional Misto de Mangabeira,VAGO
João Pessoa,1ª Vara Regional Ci­vel,Leila Cristiani Correia de Freitas e Sousa
João Pessoa,2ª Vara Regional Civel,Fernando Brasilino Leite
João Pessoa,1ª Vara Regional Criminal,VAGO
João Pessoa,2ª Vara Regional Criminal,Isaac Torres Trigueiro de Brito
João Pessoa,1ª Vara Regional de Fami­lia,Silvio Jose da Silva
João Pessoa,2ª Vara Regional de Familia,Angela Coelho de Salles
João Pessoa,1ª Vara Regional de Mangabeira,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,2ª Vara Regional de Mangabeira,VAGO
João Pessoa,3ª Vara Regional de Mangabeira,VAGO
João Pessoa,4ª Vara Regional de Mangabeira,"VAGO ()
Em substituição:
Período: de 31/12/1969 ate data não definida"
João Pessoa,5ª Vara Regional de Mangabeira,VAGO
João Pessoa,6ª Vara Regional de Mangabeira,VAGO
Patos,1º Juizado Auxiliar Misto da 3ª Circunscricao,Diego Garcia Oliveira
Patos,2º Juizado Auxiliar Misto da 3ª Circunscricao,Joao Lucas Souto Gil Messias
Patos,1º Juizado Especial Misto,Bruno Medrado dos Santos
Patos,2º Juizado Especial Misto,Jose Milton Barros de Araujo Vita
Patos,1ª Vara Mista,Isabella Joseanne Assuncao Lopes Andrade de Souza
Patos,2ª Vara Mista,Janete Oliveira Ferreira Rangel
Patos,3ª Vara Mista,VAGO
Patos,4ª Vara Mista,Vanessa Moura Pereira de Cavalcante
Patos,5ª Vara Mista,Luiz Gonzaga Pereira de Melo Filho
Patos,6ª Vara Mista,Anna Maria do Socorro Hilario Lacerda
Patos,7ª Vara Mista,Joscileide Ferreira de Lira
Santa Rita,Juizado Especial Misto,Ana Flavia de Carvalho Dias
Santa Rita,1ª Vara Mista,Lilian Frassinetti Correia Cananea
Santa Rita,2ª Vara Mista,Maria dos Remedios Pordeus Pedrosa
Santa Rita,3ª Vara Mista,Anna Carla Falcao da Cunha Lima
Santa Rita,4ª Vara Mista,Israela Claudia da Silva Pontes
Santa Rita,5ª Vara Mista,Gutemberg Cardoso Pereira
Sousa,1º Juizado Auxiliar Misto da 4ª Circunscricao,VAGO
Sousa,1º Juizado Especial Misto,VAGO
Sousa,2º Juizado Especial Misto,VAGO
Sousa,1ª Vara Mista,Jose Normando Fernandes
Sousa,2ª Vara Mista,Caroline Silvestrini de Campos Rocha
Sousa,3ª Vara Mista,VAGO
Sousa,4ª Vara Mista,Agilio Tomaz Marques
Sousa,5ª Vara Mista,Natan Figueredo Oliveira
Sousa,6ª Vara Mista,Bernardo Antonio da Silva Lacerda
Sousa,7ª Vara Mista,Hugo Gomes Zaher
